Indicator Code,Indicator Name
RAWD423CRVS,Administrative Data for CRVS (WDI)
RAWD422EDUNAS,Administrative Data for Education (UNESCO) on nationally-representative learning assessment
RAWD422EDUOOS,Administrative Data for Education (UNESCO) on out-of-school rate
RAWD422EDUORGL,Administrative Data for Education (UNESCO) on participation rate in organized learning
RAWD424LBREMPOFF,Administrative Data for Labor Admin (ILO) on employment office records
RAWD424LBRINSUR,Administrative Data for Labor Admin (ILO) on insurance records
RAWD424LBRINSP,Administrative Data for Labor Admin (ILO) on labor inspectorate records
RAWD424LBROTHER,Administrative Data for Labor Admin (ILO) on other administrative records
RAWD424LBREMPORG,Administrative Data for Labor Admin (ILO) on records of employers' organizations
RAWD424LBRWRKORG,Administrative Data for Labor Admin (ILO) on records of workers' organizations
RAWD421SPL,Administrative Data for Social Protection Admin (ASPIRE)
SPID412AGRI,Agriculture census (Availability score over 20 years)
SPID415AGSVY,Agriculture survey (Availability score over 10 years)
SPID15POV,Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average)
SPID15CHLDMORT,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)"
SPID5210GSBP,Business process
SPID413BIZZ,Business/establishment census (Availability score over 20 years)
SPID418BZSVY,Business/establishment survey (Availability score over 10 years)
SPID527CGOV,Central government accounting status
SPID525HOUS,Classification of household consumption
SPID523CNIN,Classification of national industry
SPID526EMPL,Classification of status of employment
SPID528FINA,Compilation of government finance statistics
SPID529MONY,Compilation of monetary and financial statistics
SPID524CPIBY,CPI base year
SPID423CRVS,CRVS (WDI)
SPIDIM15INDEX,Dimension 1.5: Data use by international organizations
SPIDIM21INDEX,Dimension 2.1: Data Releases
SPIDIM22INDEX,Dimension 2.2: Online access
SPIDIM24INDEX,Dimension 2.4: Data services
SPIDIM31INDEX,Dimension 3.1: Social Statistics
SPIDIM32INDEX,Dimension 3.2: Economic Statistics
SPIDIM33INDEX,Dimension 3.3: Environmental Statistics
SPIDIM34INDEX,Dimension 3.4: Institutional Statistics
SPIDIM41CENINDEX,Dimension 4.1: Censuses and Surveys - Censuses only
SPIDIM41SVYINDEX,Dimension 4.1: Censuses and Surveys - Surveys only
SPIDIM42INDEX,Dimension 4.2: Administrative Data
SPIDIM43INDEX,Dimension 4.3: Geospatial Data
SPIDIM51INDEX,Dimension 5.1: Legislation and governance
SPIDIM52INDEX,Dimension 5.2: Standards and Methods
