"CountryName","SPPOPTOTL19","percPop","cumPercPop"
"China",1407745000,0.208506887359906,0.208506887359906
"India",1366417756,0.202385739702054,0.410892627061961
"United States",328329953,0.0486302963441919,0.459522923406152
"Indonesia",270625567,0.0400834629959118,0.499606386402064
"Pakistan",216565317,0.0320763775810118,0.531682763983076
"Brazil",211049519,0.0312594101101374,0.562942174093213
"Nigeria",200963603,0.0297655437129324,0.592707717806146
"Bangladesh",163046173,0.0241494375957115,0.616857155401857
"Russian Federation",144406261,0.0213886037573511,0.638245759159208
"Mexico",127575529,0.0188957349911266,0.657141494150335
"Ethiopia",112078727,0.0166004400697788,0.673741934220114
"Philippines",108116622,0.0160135964433101,0.689755530663424
"Egypt, Arab Rep.",100388076,0.0148688897881433,0.704624420451567
"Vietnam",96462108,0.0142873985610001,0.718911819012567
"Turkey",83429607,0.0123571013707953,0.731268920383362
"Germany",83092962,0.0123072394987267,0.743576159882089
"Iran, Islamic Rep.",82913893,0.0122807168544888,0.755856876736578
"Thailand",69625581,0.0103125304475846,0.766169407184163
"France",67248926,0.00996051432507783,0.77612992150924
"United Kingdom",66836327,0.00989940259446056,0.786029324103701
"Italy",59729081,0.008846719231237,0.794876043334938
"South Africa",58558267,0.00867330516631942,0.803549348501257
"Tanzania",58005461,0.00859142680171938,0.812140775302977
"Kenya",52573967,0.00778694594215035,0.819927721245127
"Korea, Rep.",51709098,0.00765884664635169,0.827586567891479
"Colombia",50339443,0.00745598142515969,0.835042549316638
"Spain",47133521,0.00698113916513487,0.842023688481773
"Argentina",44938712,0.00665605699972884,0.848679745481502
"Ukraine",44386203,0.00657422262501727,0.855253968106519
"Uganda",44269587,0.00655695015082886,0.861810918257348
"Algeria",43053054,0.00637676445725467,0.868187682714603
"Poland",37965475,0.00562322225928016,0.873810904973883
"Morocco",36471766,0.00540198289120463,0.879212887865088
"Peru",32510462,0.00481525790413215,0.88402814576922
"Malaysia",31949789,0.00473221432588699,0.888760360095107
"Ghana",30417858,0.00450531374058202,0.893265673835689
"Mozambique",30366043,0.00449763920835597,0.897763313044045
"Nepal",28608715,0.00423735414866802,0.902000667192713
"Madagascar",26969306,0.00399453455584417,0.905995201748557
"Cameroon",25876387,0.00383265783894835,0.909827859587505
"Cote d'Ivoire",25716554,0.00380898431758802,0.913636843905093
"Australia",25365745,0.0037570245573702,0.917393868462464
"Niger",23310719,0.00345264622556744,0.920846514688031
"Sri Lanka",21803000,0.00322933177891453,0.924075846466946
"Burkina Faso",20321383,0.00300988340656761,0.927085729873513
"Mali",19658023,0.0029116304354691,0.929997360308982
"Romania",19371648,0.00286921425933799,0.93286657456832
"Chile",18952035,0.00280706365640511,0.935673638224725
"Kazakhstan",18513673,0.00274213606216264,0.938415774286888
"Zambia",17861034,0.00264547102235807,0.941061245309246
"Ecuador",17373657,0.00257328361537683,0.943634528924623
"Netherlands",17344874,0.00256902044716179,0.946203549371785
"Guatemala",16604026,0.00245929041048127,0.948662839782266
"Cambodia",16486542,0.00244188937325181,0.951104729155518
"Senegal",16296362,0.00241372103321998,0.953518450188738
"Rwanda",12626938,0.00187022759041341,0.955388677779151
"Benin",11801151,0.00174791688997244,0.957136594669124
"Tunisia",11694721,0.00173215310603308,0.958868747775157
"Burundi",11530577,0.00170784106477645,0.960576588839933
"Bolivia",11513102,0.00170525277083358,0.962281841610767
"Dominican Republic",10738957,0.0015905909788789,0.963872432589646
"Greece",10721582,0.00158801749634628,0.965460450085992
"Czech Republic",10671870,0.001580654448078,0.96704110453407
"Portugal",10286263,0.00152354061331802,0.968564645147388
"Sweden",10278887,0.00152244812369727,0.970087093271085
"Jordan",10101697,0.00149620378585817,0.971583297056943
