"ISO3","CountryName","WorldRMSE","WorldVars","ContRMSE","ContVars"
"ALB","Albania",1.8862,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",1.364,"SPPOPGROW, SLTLFTOTLFEZS, SPADOTFRT, SLTLFACTIFEZS, SHDYNNMRT, SPDYNIMRTIN, SHDTHMORTMA, SHDTHIMRTFE, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPMAZS, SPPOP4549FE5Y, SPPOP7579MA5Y, SPPOP5054MA5Y, SPPOP5054FE5Y, SLFAMWORKZS, SLSRVEMPLMAZS, TXVALMRCHALZS, AGCONFERTZS, SMPOPREFGOR, SHSTAOWADFEZS"
"ARG","Argentina",1.2124,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.5629,"SPADOTFRT, SPDYNIMRTFEIN, SPPOP4549FE5Y, SPPOPAG05FEIN, PANUSATLS, NYGDPFRSTRTZS, FPCPITOTL, PANUSPRVTPP, ERFSHAQUAMT, SMPOPREFG, NVINDEMPLKD, NVSRVEMPLKD"
"ARM","Armenia",0.7867,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",6.0435,"SPPOPGROW, SHHTNPREVMAZS, SLTLFCACTFEZS, SPPOP3539FE5Y, SPPOP1564MAZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP0509MA, SPPOPAG02MAIN, SPPOP65UPTOZS, SPDYNAMRTFE, TMVALMRCHRSZS, NYADJDMINGNZS, AGSRFTOTLK2, SLUEMTOTLMAZS, NECONTOTLZS, MSMILXPNDCN, ENURBLCTY, NVMNFTECHZSUN, TXMNFTECHZSUN, NVINDMANFCN, TXVALOTHRZSWT, SHSTAOWADFEZS"
"AUS","Australia",2.014,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",NA,NA
"AUT","Austria",1.6085,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.5764,"SPPOPGROW, SLTLFTOTLFEZS, SPADOTFRT, SLTLFACTIFEZS, SHDYNNMRT, SPDYNIMRTIN, SHDTHMORTMA, SHDTHIMRTFE, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPMAZS, SPPOP4549FE5Y, SPPOP7579MA5Y, SPPOP5054MA5Y, SPPOP5054FE5Y, SLFAMWORKZS, SLSRVEMPLMAZS, TXVALMRCHALZS, AGCONFERTZS, SMPOPREFGOR, SHSTAOWADFEZS"
"AZE","Azerbaijan",2.2592,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",9.2543,"SPPOPGROW, SHHTNPREVMAZS, SLTLFCACTFEZS, SPPOP3539FE5Y, SPPOP1564MAZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP0509MA, SPPOPAG02MAIN, SPPOP65UPTOZS, SPDYNAMRTFE, TMVALMRCHRSZS, NYADJDMINGNZS, AGSRFTOTLK2, SLUEMTOTLMAZS, NECONTOTLZS, MSMILXPNDCN, ENURBLCTY, NVMNFTECHZSUN, TXMNFTECHZSUN, NVINDMANFCN, TXVALOTHRZSWT, SHSTAOWADFEZS"
"BDI","Burundi",2.9144,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",3.2537,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS"
"BEN","Benin",3.0593,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",2.7804,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS"
"BFA","Burkina Faso",3.2101,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",2.6538,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS"
"BGD","Bangladesh",2.9743,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",19.8082,"SPPOPGROW, SHHTNPREVMAZS, SLTLFCACTFEZS, SPPOP3539FE5Y, SPPOP1564MAZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP0509MA, SPPOPAG02MAIN, SPPOP65UPTOZS, SPDYNAMRTFE, TMVALMRCHRSZS, NYADJDMINGNZS, AGSRFTOTLK2, SLUEMTOTLMAZS, NECONTOTLZS, MSMILXPNDCN, ENURBLCTY, NVMNFTECHZSUN, TXMNFTECHZSUN, NVINDMANFCN, TXVALOTHRZSWT, SHSTAOWADFEZS"
