"ISO3","CountryName","WorldRMSE","WorldVars","ContRMSE","ContVars","RegRMSE","RegVars","Region1","Continent"
"ALB","Albania",1.8862,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",1.364,"SPPOPGROW, SLTLFTOTLFEZS, SPADOTFRT, SLTLFACTIFEZS, SHDYNNMRT, SPDYNIMRTIN, SHDTHMORTMA, SHDTHIMRTFE, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPMAZS, SPPOP4549FE5Y, SPPOP7579MA5Y, SPPOP5054MA5Y, SPPOP5054FE5Y, SLFAMWORKZS, SLSRVEMPLMAZS, TXVALMRCHALZS, AGCONFERTZS, SMPOPREFGOR, SHSTAOWADFEZS",1.8029,"SHHTNPREVZS, ENPOPDNST, SHDYNNMRT, SHDYNMORT, SHDTHNMRT, SPPOP1564MAZS, NYGDPPCAPKD, NYGDPPCAPPPCD, NYADJDKAPGNZS, SLEMP1524SPZS, ERFSHCAPTMT, AGLNDAGRIZS, TXVALMRCHXDWD, NVMNFTECHZSUN, SMPOPREFGOR, NEGDIFTOTKN, NYGDYTOTLKN, BMGSRCMCPZS, FMASTDOMSCN, NVINDEMPLKD, ENATMCO2ELFZS, SEENRPRIMFMZS","Southern Europe","Europe"
"ARG","Argentina",1.2124,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.5629,"SPADOTFRT, SPDYNIMRTFEIN, SPPOP4549FE5Y, SPPOPAG05FEIN, PANUSATLS, NYGDPFRSTRTZS, FPCPITOTL, PANUSPRVTPP, ERFSHAQUAMT, SMPOPREFG, NVINDEMPLKD, NVSRVEMPLKD",0.6364,"SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGLAWINDX, IMMIGRATION, SPDYNLE00IN, SPPOP3539FE5Y, SPPOP1014MA5Y, SPPOP0509FE5Y, SPPOP3539MA5Y, SPPOP2024MA5Y, SPPOP4549MA5Y, NYGDPMINRRTZS, SPDYNAMRTFE, NYGDPPCAPKDZG, NYADJDKAPGNZS, NEIMPGNFSZS, ENATMCO2EPC, NYGSRNFCYCD, NVAGRTOTLZS, NVINDTOTLZS, NVAGRTOTLKD, PANUSPRVTPP, NVSRVTOTLCN, BMKLTDINVWDGDZS, NVINDMANFZS, BMGSRCMCPZS, SHSTAOB18FEZS, SHSTAOB18MAZS, NVINDMANFKN, NYADJNNATCD, EGELCACCSURZS","South America","South America"
"ARM","Armenia",0.7867,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",6.0435,"SPPOPGROW, SHHTNPREVMAZS, SLTLFCACTFEZS, SPPOP3539FE5Y, SPPOP1564MAZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP0509MA, SPPOPAG02MAIN, SPPOP65UPTOZS, SPDYNAMRTFE, TMVALMRCHRSZS, NYADJDMINGNZS, AGSRFTOTLK2, SLUEMTOTLMAZS, NECONTOTLZS, MSMILXPNDCN, ENURBLCTY, NVMNFTECHZSUN, TXMNFTECHZSUN, NVINDMANFCN, TXVALOTHRZSWT, SHSTAOWADFEZS",14.6051,"SHHTNTRETFEZS, AGLNDFRSTZS, ENPOPDNST, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1564FEZS, SPPOP1564MAZS, SPPOP1564TOZS, SPPOP3539MA5Y, SPPOP6569FE5Y, SPPOP4549MA5Y, SPPOP5559FE, SPDYNAMRTFE, NYGDPMKTPKDZG, NYGDPPCAPKDZG, TGVALTOTLGDZS, AGSRFTOTLK2, SLEMPMPYRFEZS, TXVALMRCHR5ZS, BNGSRFCTYCD, NVINDMANFZS, FMASTDOMSCN, NEGDIFTOTKDZG, FIRESTOTLCD, NYADJICTRGNZS, NYGNSICTRGNZS, SEENRPRIMFMZS","Western Asia","Asia"
"AUS","Australia",2.014,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",NA,NA,NA,NA,"Australia and New Zealand","Oceania"
"AUT","Austria",1.6085,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.5764,"SPPOPGROW, SLTLFTOTLFEZS, SPADOTFRT, SLTLFACTIFEZS, SHDYNNMRT, SPDYNIMRTIN, SHDTHMORTMA, SHDTHIMRTFE, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPMAZS, SPPOP4549FE5Y, SPPOP7579MA5Y, SPPOP5054MA5Y, SPPOP5054FE5Y, SLFAMWORKZS, SLSRVEMPLMAZS, TXVALMRCHALZS, AGCONFERTZS, SMPOPREFGOR, SHSTAOWADFEZS",1.2204,"SHHTNPREVMAZS, SLTLFACTI1524MAZS, SPDYNIMRTFEIN, SPPOP3034MA5Y, SPPOP0509MA5Y, SPPOP5559MA5Y, SPPOP5559FE, NECONPRVTCN, NVSRVTOTLZS, SMPOPREFGOR, NEEXPGNFSKDZG, BMGSRTRANZS, ENATMGHGOKTCE, NYGDPFCSTCD, SEENRPRIMFMZS","Western Europe","Europe"
"AZE","Azerbaijan",2.2592,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",9.2543,"SPPOPGROW, SHHTNPREVMAZS, SLTLFCACTFEZS, SPPOP3539FE5Y, SPPOP1564MAZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP0509MA, SPPOPAG02MAIN, SPPOP65UPTOZS, SPDYNAMRTFE, TMVALMRCHRSZS, NYADJDMINGNZS, AGSRFTOTLK2, SLUEMTOTLMAZS, NECONTOTLZS, MSMILXPNDCN, ENURBLCTY, NVMNFTECHZSUN, TXMNFTECHZSUN, NVINDMANFCN, TXVALOTHRZSWT, SHSTAOWADFEZS",20.8675,"SHHTNTRETFEZS, AGLNDFRSTZS, ENPOPDNST, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1564FEZS, SPPOP1564MAZS, SPPOP1564TOZS, SPPOP3539MA5Y, SPPOP6569FE5Y, SPPOP4549MA5Y, SPPOP5559FE, SPDYNAMRTFE, NYGDPMKTPKDZG, NYGDPPCAPKDZG, TGVALTOTLGDZS, AGSRFTOTLK2, SLEMPMPYRFEZS, TXVALMRCHR5ZS, BNGSRFCTYCD, NVINDMANFZS, FMASTDOMSCN, NEGDIFTOTKDZG, FIRESTOTLCD, NYADJICTRGNZS, NYGNSICTRGNZS, SEENRPRIMFMZS","Western Asia","Asia"
"BDI","Burundi",2.9144,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",3.2537,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS",8.7496,"SPADOTFRT, SGLAWOBHBMRNO, SPDYNLE00FEIN, SPDYNLE00MAIN, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP80UPMA5Y, SPPOP4549FE5Y, SPPOP5559FE, SPPOP6064FE5Y, SPPOP5054MA5Y, SPPOP5054MA, SPPOP6064MA, ITCELSETS, ITMLTMAINP2, NYGDPPCAPPPKD, TGVALTOTLGDZS, NYGNPPCAPPPCD, SLSRVEMPLZS, SLEMPVULNMAZS, SLEMP1524SPMAZS, ENATMCO2EPC, FPCPITOTL, TMVALMRCHR6ZS, ENURBLCTYURZS, NEGDISTKBCD, ENATMCO2ELFZS","Eastern Africa","Africa"
"BEN","Benin",3.0593,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",2.7804,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS",0.264,"SPURBGROW, SPADOTFRT, SLTLFCACTMAZS, SLTLFACTIMAZS, AGLNDFRSTZS, SHDYNMORTMA, SPDYNCDRTIN, SHDTHMORTMA, SHDTHIMRT, SHDTH1519, SPPOP1014MA5Y, SPPOP7579FE5Y, SPPOP4044FE5Y, SPPOP5054MA5Y, SPPOP7074FE5Y, SPPOPAG05MAIN, SHIMMMEAS, ENATMMETHEGKTCE, ENATMMETHKTCE, SLUEMTOTLFEZS, SLSRVEMPLMAZS, ENATMNOXEEGKTCE, SLEMP1524SPFEZS, NECONGOVTCN, NYADJDRESGNZS, NEGDIFTOTCN, TXVALMRCHR1ZS, AGLNDAGRIK2, FPCPITOTL, TMVALMRCHR6ZS, TXVALMRCHR6ZS, TXVALMRCHR3ZS, BGGSRNFSVGDZS, NVINDTOTLKN, SHSTAOWADFEZS, SEENRPRIMFMZS","Western Africa","Africa"
"BFA","Burkina Faso",3.2101,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",2.6538,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS",1.0203,"SPURBGROW, SPADOTFRT, SLTLFCACTMAZS, SLTLFACTIMAZS, AGLNDFRSTZS, SHDYNMORTMA, SPDYNCDRTIN, SHDTHMORTMA, SHDTHIMRT, SHDTH1519, SPPOP1014MA5Y, SPPOP7579FE5Y, SPPOP4044FE5Y, SPPOP5054MA5Y, SPPOP7074FE5Y, SPPOPAG05MAIN, SHIMMMEAS, ENATMMETHEGKTCE, ENATMMETHKTCE, SLUEMTOTLFEZS, SLSRVEMPLMAZS, ENATMNOXEEGKTCE, SLEMP1524SPFEZS, NECONGOVTCN, NYADJDRESGNZS, NEGDIFTOTCN, TXVALMRCHR1ZS, AGLNDAGRIK2, FPCPITOTL, TMVALMRCHR6ZS, TXVALMRCHR6ZS, TXVALMRCHR3ZS, BGGSRNFSVGDZS, NVINDTOTLKN, SHSTAOWADFEZS, SEENRPRIMFMZS","Western Africa","Africa"
"BGD","Bangladesh",2.9743,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",19.8082,"SPPOPGROW, SHHTNPREVMAZS, SLTLFCACTFEZS, SPPOP3539FE5Y, SPPOP1564MAZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP0509MA, SPPOPAG02MAIN, SPPOP65UPTOZS, SPDYNAMRTFE, TMVALMRCHRSZS, NYADJDMINGNZS, AGSRFTOTLK2, SLUEMTOTLMAZS, NECONTOTLZS, MSMILXPNDCN, ENURBLCTY, NVMNFTECHZSUN, TXMNFTECHZSUN, NVINDMANFCN, TXVALOTHRZSWT, SHSTAOWADFEZS",1.9819,"SPADOTFRT, ENPOPDNST, SPDYNIMRTFEIN, SPPOP1519FE5Y, SPPOP2024MA5Y, SPPOP4044MA5Y, SPPOPAG01MAIN, SPPOP4549MA5Y, SPPOP5559MA5Y, ITMLTMAINP2, NYGDPDEFLZS, NERSBGNFSZS, ENATMMETHAGKTCE, SLFAMWORKFEZS, ENATMNOXEKTCE, SLEMPMPYRZS, ENATMCO2EPC, NECONTOTLZS, EGFECRNEWZS, TXVALMRCHR3ZS, BNGSRGNFSCD, BGGSRNFSVGDZS, NYTTFGNFSKN, NVSRVEMPLKD, NEGDITOTLKDZG, NYTAXNINDCD","Southern Asia","Asia"
